ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,DAYS_SINCE_LASTORDER,STATUS,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE,CITY,POSTALCODE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10285.0,36.0,113.88,6.0,4099.0,2019-08-27,292.0,5,1,95.0,S10_1678,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,51247,USA,Hernandez,Marta,1
10299.0,23.0,112.93,9.0,2597.0,2019-09-30,259.0,5,1,95.0,S10_1678,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,21240,Finland,Karttunen,Matti,2
10309.0,41.0,107.18,5.0,4394.0,2019-10-15,245.0,5,1,95.0,S10_1678,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,Bergulfsen,Jonas,1
10318.0,46.0,94.74,1.0,4358.0,2019-11-02,228.0,5,1,95.0,S10_1678,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,70267,USA,Yu,Kyung,1
10329.0,42.0,104.67,1.0,4396.0,2019-11-15,216.0,5,1,95.0,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,1
10341.0,41.0,188.73,9.0,7737.0,2019-11-24,208.0,5,1,95.0,S10_1678,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,5020,Austria,Pipps,Georg,0
10361.0,20.0,72.55,13.0,1451.0,2019-12-17,186.0,5,1,95.0,S10_1678,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia,Huxley,Adrian,2
10375.0,21.0,34.91,12.0,733.0,2020-02-03,139.0,5,1,95.0,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France,Labrune,Janine,2
10388.0,42.0,76.36,4.0,3207.0,2020-03-03,111.0,5,1,95.0,S10_1678,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,50553,USA,Benitez,Violeta,1
10403.0,24.0,101.44,7.0,2434.0,2020-04-08,76.0,5,1,95.0,S10_1678,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,WX1 6LT,UK,Devon,Elizabeth,2
10417.0,66.0,113.88,2.0,7516.0,2020-05-13,42.0,1,1,95.0,S10_1678,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,0
10103.0,26.0,207.87,11.0,5404.0,2018-01-29,878.0,5,0,208.0,S10_1949,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,Bergulfsen,Jonas,1
10112.0,29.0,214.6325,1.0,7209.0,2018-03-24,825.0,5,0,208.0,S10_1949,"Volvo Model Replicas, Co",0921-12 3555,Berguvsvgen  8,Lule,S-958 22,Sweden,Berglund,Christina,0
10126.0,38.0,192.87,11.0,7329.0,2018-05-28,761.0,5,0,208.0,S10_1949,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",Madrid,28023,Spain,Sommer,Mart¡n,0
10140.0,37.0,199.3,11.0,7374.0,2018-07-24,705.0,5,0,208.0,S10_1949,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,94217,USA,Hirano,Juri,0
10150.0,45.0,214.6325,8.0,7951.5,2018-09-19,649.0,5,0,208.0,S10_1949,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,79903,Singapore,Natividad,Eric,0
10163.0,21.0,214.6325,1.0,4860.0,2018-10-20,619.0,5,0,208.0,S10_1949,Classic Legends Inc.,2125558493,5905 Pompton St.,NYC,10022,USA,Hernandez,Maria,1
10174.0,34.0,214.6325,4.0,7951.5,2018-11-06,603.0,5,0,208.0,S10_1949,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,4101,Australia,Calaghan,Tony,0
10183.0,23.0,214.6325,8.0,5372.0,2018-11-13,597.0,5,0,208.0,S10_1949,"Classic Gift Ideas, Inc",2155554695,782 First Street,Philadelphia,71270,USA,Cervantes,Francisca,1
10194.0,42.0,173.58,11.0,7290.0,2018-11-25,586.0,5,0,208.0,S10_1949,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Lyon,69004,France,Saveley,Mary,0
10206.0,47.0,192.87,6.0,7951.5,2018-12-05,577.0,5,0,208.0,S10_1949,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,Vancouver,V3F 2K1,Canada,Tannamuri,Yoshi,0
10215.0,35.0,173.58,3.0,6075.0,2019-01-29,523.0,5,0,208.0,S10_1949,West Coast Collectables Co.,3105553722,3675 Furth Circle,Burbank,94019,USA,Thompson,Steve,1
10228.0,29.0,214.6325,2.0,6463.0,2019-03-10,484.0,5,0,208.0,S10_1949,Cambridge Collectables Co.,6175555555,4658 Baden Av.,Cambridge,51247,USA,Tseng,Kyung,1
10245.0,34.0,180.01,9.0,6120.0,2019-05-04,430.0,5,0,208.0,S10_1949,Super Scale Inc.,2035559545,567 North Pendale Street,New Haven,97823,USA,Murphy,Leslie,1
10258.0,32.0,214.6325,6.0,7680.0,2019-06-15,389.0,5,0,208.0,S10_1949,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,106-0032,Japan,Shimamura,Akiko,0
10270.0,21.0,214.6325,9.0,4905.0,2019-07-19,356.0,5,0,208.0,S10_1949,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia,Huxley,Adrian,1
10280.0,34.0,214.6325,2.0,7951.5,2019-08-17,328.0,5,0,208.0,S10_1949,Amica Models & Co.,011-4988555,Via Monte Bianco 34,Torino,10100,Italy,Accorti,Paolo,0
10291.0,37.0,192.87,11.0,7136.0,2019-09-08,307.0,5,0,208.0,S10_1949,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Boras,S-844 67,Sweden,Larsson,Maria,0
10304.0,47.0,214.6325,6.0,7951.5,2019-10-11,275.0,5,0,208.0,S10_1949,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",Versailles,78000,France,Tonini,Daniel,0
10312.0,48.0,214.6325,3.0,7951.5,2019-10-21,266.0,5,0,208.0,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,0
10322.0,40.0,150.01,1.0,6000.0,2019-11-04,253.0,5,0,208.0,S10_1949,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Nashua,62005,USA,Young,Valarie,1
10347.0,30.0,131.49,1.0,3944.0,2019-11-29,229.0,5,0,208.0,S10_1949,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,1
10357.0,32.0,177.87,10.0,5691.0,2019-12-10,219.0,5,0,208.0,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,1
10369.0,41.0,110.12,2.0,4514.0,2020-01-20,179.0,5,0,208.0,S10_1949,Collectables For Less Inc.,6175558555,7825 Douglas Av.,Brickhaven,58339,USA,Nelson,Allen,1
10391.0,24.0,100.69,4.0,2416.0,2020-03-09,131.0,5,0,208.0,S10_1949,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,Australia,O'Hara,Anna,2
10411.0,23.0,180.01,9.0,4140.0,2020-05-01,79.0,5,0,208.0,S10_1949,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Montreal,H1J 1C3,Canada,Fresnisre,Jean,1
10424.0,50.0,214.6325,6.0,7951.5,2020-05-31,50.0,2,0,208.0,S10_1949,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,0
10107.0,39.0,99.91,5.0,3896.0,2018-02-24,878.0,5,1,118.0,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,1
10120.0,29.0,96.34,3.0,2793.0,2018-04-29,815.0,5,1,118.0,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,2
10134.0,27.0,122.51,5.0,3307.0,2018-07-01,753.0,5,1,118.0,S10_2016,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France,Da Cunha,Daniel,1
10145.0,37.0,140.35,9.0,5192.0,2018-08-25,699.0,5,1,118.0,S10_2016,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,90003,USA,Young,Julie,1
10168.0,27.0,135.59,4.0,3660.0,2018-10-28,636.0,5,1,118.0,S10_2016,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,94217,USA,Hirano,Juri,1
10180.0,42.0,111.8,12.0,4695.0,2018-11-11,623.0,5,1,118.0,S10_2016,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Lille,59000,France,Rance,Martine,1
10188.0,38.0,96.34,4.0,3660.0,2018-11-18,617.0,5,1,118.0,S10_2016,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,N 5804,Norway,Oeztan,Veysel,1
10210.0,23.0,130.83,2.0,3009.0,2019-01-12,563.0,5,1,118.0,S10_2016,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,530-0003,Japan,Kentary,Mory,1
10223.0,47.0,115.37,4.0,5422.0,2019-02-20,525.0,5,1,118.0,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,1
10236.0,22.0,129.64,1.0,2852.0,2019-04-03,484.0,5,1,118.0,S10_2016,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Philadelphia,71270,USA,Hernandez,Rosa,2
10251.0,44.0,130.83,5.0,5756.0,2019-05-18,440.0,5,1,118.0,S10_2016,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,94019,USA,Brown,William,1
10263.0,40.0,111.8,5.0,4472.0,2019-06-28,400.0,5,1,118.0,S10_2016,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,97562,USA,King,Julie,1
10275.0,22.0,132.02,4.0,2904.0,2019-07-23,376.0,5,1,118.0,S10_2016,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France,Labrune,Janine,2
10285.0,47.0,137.97,9.0,6484.0,2019-08-27,342.0,5,1,118.0,S10_2016,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,51247,USA,Hernandez,Marta,1
10298.0,39.0,96.34,1.0,3757.0,2019-09-27,312.0,5,1,118.0,S10_2016,Atelier graphique,40.32.2555,"54, rue Royale",Nantes,44000,France,Schmitt,Carine,1
10308.0,34.0,118.94,2.0,4043.0,2019-10-15,295.0,5,1,118.0,S10_2016,Mini Classics,9145554562,3758 North Pendale Street,White Plains,24067,USA,Frick,Steve,1
10318.0,45.0,123.7,4.0,5566.0,2019-11-02,278.0,5,1,118.0,S10_2016,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,70267,USA,Yu,Kyung,1
10329.0,20.0,158.8,2.0,3176.0,2019-11-15,266.0,5,1,118.0,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,1
10339.0,40.0,68.92,4.0,2756.0,2019-11-23,259.0,5,1,118.0,S10_2016,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,106-0032,Japan,Shimamura,Akiko,2
10361.0,26.0,51.15,8.0,1329.0,2019-12-17,236.0,5,1,118.0,S10_2016,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia,Huxley,Adrian,2
10374.0,39.0,135.59,5.0,5288.0,2020-02-02,190.0,5,1,118.0,S10_2016,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,4101,Australia,Calaghan,Tony,1
10388.0,50.0,44.51,5.0,2225.0,2020-03-03,161.0,5,1,118.0,S10_2016,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,50553,USA,Benitez,Violeta,2
10402.0,45.0,129.64,1.0,5833.0,2020-04-07,127.0,5,1,118.0,S10_2016,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",Paris,75016,France,Perrier,Dominique,1
10417.0,45.0,130.83,5.0,5887.0,2020-05-13,92.0,1,1,118.0,S10_2016,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,1
10107.0,27.0,214.6325,4.0,6065.0,2018-02-24,902.0,5,1,193.0,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,1
10120.0,46.0,201.41,2.0,7951.5,2018-04-29,839.0,5,1,193.0,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,0
10134.0,31.0,214.6325,4.0,7023.0,2018-07-01,777.0,5,1,193.0,S10_4698,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France,Da Cunha,Daniel,0
10145.0,33.0,156.86,8.0,5176.0,2018-08-25,723.0,5,1,193.0,S10_4698,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,90003,USA,Young,Julie,1
10168.0,20.0,209.15,3.0,4183.0,2018-10-28,660.0,5,1,193.0,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,94217,USA,Hirano,Juri,1
10180.0,41.0,214.6325,11.0,7951.5,2018-11-11,647.0,5,1,193.0,S10_4698,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Lille,59000,France,Rance,Martine,0
10188.0,45.0,193.66,3.0,7951.5,2018-11-18,641.0,5,1,193.0,S10_4698,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,N 5804,Norway,Oeztan,Veysel,0
10210.0,34.0,180.1,1.0,6123.0,2019-01-12,587.0,5,1,193.0,S10_4698,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,530-0003,Japan,Kentary,Mory,1
10223.0,49.0,199.47,3.0,7951.5,2019-02-20,549.0,5,1,193.0,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,0
10237.0,39.0,180.1,9.0,7023.0,2019-04-05,506.0,5,1,193.0,S10_4698,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,10022,USA,Frick,Michael,0
10251.0,43.0,164.61,4.0,7078.0,2019-05-18,464.0,5,1,193.0,S10_4698,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,94019,USA,Brown,William,0
10263.0,41.0,203.34,4.0,7951.5,2019-06-28,424.0,5,1,193.0,S10_4698,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,97562,USA,King,Julie,0
10275.0,36.0,191.72,3.0,6901.0,2019-07-23,400.0,5,1,193.0,S10_4698,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France,Labrune,Janine,1
10285.0,27.0,201.41,8.0,5438.0,2019-08-27,366.0,5,1,193.0,S10_4698,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,51247,USA,Hernandez,Marta,1
10299.0,29.0,214.6325,11.0,6683.0,2019-09-30,333.0,5,1,193.0,S10_4698,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,21240,Finland,Karttunen,Matti,1
10308.0,20.0,214.6325,1.0,4570.0,2019-10-15,319.0,5,1,193.0,S10_4698,Mini Classics,9145554562,3758 North Pendale Street,White Plains,24067,USA,Frick,Steve,1
10318.0,37.0,207.22,3.0,7667.0,2019-11-02,302.0,5,1,193.0,S10_4698,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,70267,USA,Yu,Kyung,0
10329.0,26.0,214.6325,3.0,5868.0,2019-11-15,290.0,5,1,193.0,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,1
10339.0,39.0,76.67,3.0,2990.0,2019-11-23,283.0,5,1,193.0,S10_4698,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,106-0032,Japan,Shimamura,Akiko,2
10362.0,22.0,166.55,4.0,3664.0,2020-01-05,241.0,5,1,193.0,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,94217,USA,Hirano,Juri,1
10374.0,22.0,174.29,1.0,3834.0,2020-02-02,214.0,5,1,193.0,S10_4698,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,4101,Australia,Calaghan,Tony,1
10388.0,21.0,86.77,7.0,1822.0,2020-03-03,185.0,5,1,193.0,S10_4698,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,50553,USA,Benitez,Violeta,2
10403.0,66.0,180.1,9.0,7951.5,2020-04-08,150.0,5,1,193.0,S10_4698,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,WX1 6LT,UK,Devon,Elizabeth,0
10417.0,56.0,164.61,4.0,7951.5,2020-05-13,116.0,1,1,193.0,S10_4698,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,0
10105.0,50.0,144.16,2.0,7208.0,2018-02-11,939.0,5,0,136.0,S10_4757,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,0
10119.0,46.0,108.8,11.0,5004.0,2018-04-28,864.0,5,0,136.0,S10_4757,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,5020,Austria,Pipps,Georg,1
10129.0,33.0,133.28,2.0,4398.0,2018-06-12,820.0,5,0,136.0,S10_4757,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,London,WX3 6FW,UK,Brown,Ann,1
10143.0,49.0,114.24,15.0,5597.0,2018-08-10,762.0,5,0,136.0,S10_4757,Mini Creations Ltd.,5085559555,4575 Hillside Dr.,New Bedford,50553,USA,Tam,Wing C,1
10155.0,32.0,141.44,13.0,4526.0,2018-10-06,706.0,5,0,136.0,S10_4757,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,21240,Finland,Karttunen,Matti,1
10167.0,44.0,134.64,9.0,5924.0,2018-10-23,690.0,0,0,136.0,S10_4757,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Boras,S-844 67,Sweden,Larsson,Maria,1
10178.0,24.0,145.52,12.0,3492.0,2018-11-08,675.0,5,0,136.0,S10_4757,Alpha Cognac,61.77.6555,1 rue Alsace-Lorraine,Toulouse,31000,France,Roulet,Annette,1
10186.0,26.0,148.24,9.0,3854.0,2018-11-14,670.0,5,0,136.0,S10_4757,"Double Decker Gift Stores, Ltd",(171) 555-7555,120 Hanover Sq.,London,WA1 1DP,UK,Hardy,Thomas,1
10197.0,45.0,118.32,6.0,5324.0,2018-11-26,659.0,5,0,136.0,S10_4757,Enaco Distributors,(93) 203 4555,"Rambla de Catalu¤a, 23",Barcelona,8022,Spain,Saavedra,Eduardo,1
10222.0,49.0,122.4,12.0,5997.0,2019-02-19,575.0,5,0,136.0,S10_4757,Collectable Mini Designs Co.,7605558146,361 Furth Circle,San Diego,91217,USA,Thompson,Valarie,1
10248.0,20.0,145.52,3.0,2910.0,2019-05-07,499.0,0,0,136.0,S10_4757,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,2
10261.0,27.0,125.12,1.0,3378.0,2019-06-17,459.0,5,0,136.0,S10_4757,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Montreal,H1J 1C3,Canada,Fresnisre,Jean,1
10273.0,30.0,116.96,4.0,3508.0,2019-07-21,426.0,5,0,136.0,S10_4757,Petit Auto,(02) 5554 67,Rue Joseph-Bens 532,Bruxelles,B-1180,Belgium,Dewey,Catherine,1
10283.0,25.0,119.68,6.0,2992.0,2019-08-20,397.0,5,0,136.0,S10_4757,"Royal Canadian Collectables, Ltd.",(604) 555-4555,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada,Lincoln,Elizabeth,2
10295.0,24.0,142.8,1.0,3427.0,2019-09-10,377.0,5,0,136.0,S10_4757,Gifts4AllAges.com,6175559555,8616 Spinnaker Dr.,Boston,51003,USA,Yoshido,Juri,1
10307.0,22.0,122.4,9.0,2692.0,2019-10-14,344.0,5,0,136.0,S10_4757,"Classic Gift Ideas, Inc",2155554695,782 First Street,Philadelphia,71270,USA,Cervantes,Francisca,2
10316.0,33.0,125.12,17.0,4128.0,2019-11-01,327.0,5,0,136.0,S10_4757,giftsbymail.co.uk,(198) 555-8888,Garden House Crowther Way,Cowes,PO31 7PJ,UK,Bennett,Helen,1
10325.0,47.0,64.93,6.0,3051.0,2019-11-05,324.0,5,0,136.0,S10_4757,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,Bergulfsen,Jonas,1
10337.0,25.0,48.05,8.0,1201.0,2019-11-21,309.0,5,0,136.0,S10_4757,Classic Legends Inc.,2125558493,5905 Pompton St.,NYC,10022,USA,Hernandez,Maria,2
10350.0,26.0,75.47,5.0,1962.0,2019-12-02,299.0,5,0,136.0,S10_4757,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,2
10359.0,48.0,54.68,6.0,2624.0,2019-12-15,287.0,5,0,136.0,S10_4757,Reims Collectables,26.47.1555,59 rue de l'Abbaye,Reims,51100,France,Henriot,Paul,2
10373.0,39.0,103.75,3.0,4046.0,2020-01-31,241.0,5,0,136.0,S10_4757,"Oulu Toy Supplies, Inc.",981-443655,Torikatu 38,Oulu,90110,Finland,Koskitalo,Pirkko,1
10395.0,32.0,105.33,2.0,3370.0,2020-03-17,196.0,5,0,136.0,S10_4757,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France,Da Cunha,Daniel,1
10400.0,64.0,150.96,9.0,7951.5,2020-04-01,182.0,5,0,136.0,S10_4757,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,San Jose,94217,USA,Frick,Sue,0
10414.0,19.0,145.52,3.0,2764.0,2020-05-06,148.0,3,0,136.0,S10_4757,Gifts4AllAges.com,6175559555,8616 Spinnaker Dr.,Boston,51003,USA,Yoshido,Juri,2
10103.0,42.0,128.53,4.0,5398.0,2018-01-29,977.0,5,0,147.0,S10_4962,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,Bergulfsen,Jonas,1
10114.0,31.0,138.88,8.0,4305.0,2018-04-01,916.0,5,0,147.0,S10_4962,"La Corne D'abondance, Co.",(1) 42.34.2555,"265, boulevard Charonne",Paris,75012,France,Bertrand,Marie,1
10126.0,22.0,152.17,4.0,3347.0,2018-05-28,860.0,5,0,147.0,S10_4962,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",Madrid,28023,Spain,Sommer,Mart¡n,1
10140.0,26.0,122.62,4.0,3188.0,2018-07-24,804.0,5,0,147.0,S10_4962,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,94217,USA,Hirano,Juri,1
10150.0,20.0,159.56,1.0,3191.0,2018-09-19,748.0,5,0,147.0,S10_4962,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,79903,Singapore,Natividad,Eric,1
10164.0,21.0,168.42,2.0,3536.0,2018-10-21,717.0,4,0,147.0,S10_4962,Mini Auto Werke,7675-3555,Kirchgasse 6,Graz,8010,Austria,Mendel,Roland,1
10175.0,33.0,162.51,9.0,5362.0,2018-11-06,702.0,5,0,147.0,S10_4962,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,London,WX3 6FW,UK,Brown,Ann,1
10183.0,28.0,122.62,1.0,3433.0,2018-11-13,696.0,5,0,147.0,S10_4962,"Classic Gift Ideas, Inc",2155554695,782 First Street,Philadelphia,71270,USA,Cervantes,Francisca,1
10194.0,26.0,163.99,4.0,4263.0,2018-11-25,685.0,5,0,147.0,S10_4962,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Lyon,69004,France,Saveley,Mary,1
